name,value
Bares Power Pole,267000
Bares Revolvers,267000
Bares Ring,41800
Bares Sacramentum,267000
Bares Serenaca,267000
Bares Shamshir,267000
Bares Shortsword,267000
Bares Slayer,267000
Bares Staff,267000
Bares Swallowtail Fan,267000
Barley,1220
Barley Dough,4190
Barley Flour,4190
Barley Seed,497
Basilisk's Belt,14100000
Bat Blood,21200
Bean Sprouts,7450
Bear Blood,19400
Bear Hide,915
Bear Meat,34000
Beef,29200
Belt of Shultz the Gladiator,735000
Bensho's Necklace,25400000
Bhatu Ra'ghon,21400
Bheg's Gloves,353000000
Big Amanita Mushroom,10600
Big Ancient Mushroom,9800
Big Arrow Mushroom,2090
Big Bluffer Mushroom,10600
Big Cloud Mushroom,1200
Big Dwarf Mushroom,2330
Big Emperor Mushroom,1620
Big Fog Mushroom,10600
Big Fortune Teller Mushroom,1510
Big Ghost Mushroom,3990
Big Hump Mushroom,10000
Big Sky Mushroom,2190
Big Tiger Mushroom,2200
Birch Plank,8350
Birch Plywood,37700
Birch Sap,28700
Birch Timber,1090
Bird Meat,6100
Black Crystal,38400
Black Distortion Earring,68500000
Black Gem,1070000
Black Gem Fragment,410000
Black Gold Ingot,1960000
Black Leopard Hide,1170
Black Seed,26900
Black Stone,277000
Black Stone Powder,8600
Black Warrior Horn Bow,21400
Blackstar Aad Sphera,725000000
Blackstar Amulet,540000000
Blackstar Armor,540000000
Blackstar Axe,540000000
Blackstar Battle Axe,540000000
Blackstar Binyeo Knife,635000000
Blackstar Blade,540000000
Blackstar Celestial Bo Staff,725000000
Blackstar Cestus,725000000
Blackstar Clavis,615000000
Blackstar Crescent Blade,725000000
Blackstar Crescent Pendulum,540000000
Blackstar Crimson Glaives,725000000
Blackstar Crossbow,540000000
Blackstar Dagger,635000000
Blackstar Do Stave,635000000
Blackstar Dual Glaives,725000000
Blackstar Enlightened Blade,725000000
Blackstar Florang,540000000
Blackstar Foxspirit Charm,540000000
Blackstar Foxtail Fans,725000000
Blackstar Gardbrace,725000000
Blackstar Gauntlet,540000000
Blackstar Gloves,540000000
Blackstar Godr Sphera,725000000
Blackstar Gombangdae,635000000
Blackstar Gourd Bottle,635000000
Blackstar Gravity Cores,635000000
Blackstar Greatbow,725000000
Blackstar Greatsword,725000000
Blackstar Haladie,635000000
Blackstar Hammers,540000000
Blackstar Helmet,540000000
Blackstar Horn Bow,635000000
Blackstar Hwando,540000000
Blackstar Iron Buster,725000000
Blackstar Jade Pillar,725000000
Blackstar Jordun,725000000
Blackstar Kamasylven Sword,725000000
Blackstar Kerispear,725000000
Blackstar Kibelius,725000000
Blackstar Kriegsmesser,540000000
Blackstar Kunai,635000000
Blackstar Kyve,540000000
Blackstar Lancia,725000000
Blackstar Lil' Devil,725000000
Blackstar Longbow,540000000
Blackstar Longsword,540000000
Blackstar Mareca,635000000
Blackstar Morning Star,540000000
Blackstar Noble Sword,635000000
Blackstar Ornamental Knot,635000000
Blackstar Patraca,725000000
Blackstar Power Pole,540000000
Blackstar Quoratum,635000000
Blackstar Ra'ghon,635000000
Blackstar Revolvers,540000000
Blackstar Sacramentum,560000000
Blackstar Sah Chakram,725000000
Blackstar Scythe,725000000
Blackstar Serenaca,540000000
Blackstar Shamshir,540000000
Blackstar Shard,635000000
Blackstar Shield,635000000
Blackstar Shoes,540000000
Blackstar Shortsword,540000000
Blackstar Shotgun,635000000
Blackstar Shuriken,635000000
Blackstar Slayer,540000000
Blackstar Sledgehammer,725000000
Blackstar Soul Tome,725000000
Blackstar Staff,540000000
Blackstar Sting,725000000
Blackstar Sura Katana,725000000
Blackstar Swallowtail Fan,540000000
Blackstar Talisman,635000000
Blackstar Trinket,635000000
Blackstar Trion,725000000
Blackstar Vambrace,635000000
Blackstar Vediant,725000000
Blackstar Vitclari,635000000
Blade Trinket,28600
Blessed Soul Fragment,10500000000
Blood Ruby,1220000
Blood Ruby Earrings,68000
Blood Ruby Necklace,187000
Blood Ruby Ring,88000
Bloody Tree Knot,6350
Blue Cloud Pattern Wallpaper,35000000
Blue Coral,332000
Blue Coral Belt,75000
Blue Coral Earring,1460000
Blue Coral Ring,9600000
Blue Crystal,7600
Blue Flower,32600
Blue Umbrella Mushroom,3230
Blue Whale Meat,1110000
Blue Whale Molar,8650000
Blue Whale Molar Earring,20400000
Blue Whale Oil,23300000
Blue Whale Tendon,14900000
Bluffer Mushroom,3260
Bluffer Mushroom Hypha,26100
Bodul Do Stave,21400
Bottle of River Water,5850
Bottle of Sea Water,5550
Bouquet Mushroom,650
Bouquet Mushroom Hypha,7800
Bracken,2930
Brass Ingot,88500
Breath of Narcion,23600000
Breath of Omua,23400000
Breath of the Endtimes,3890000
Breath of the Morning,3890000
Breath-imbued Stuffed Cliffside Mountain Sheep Head,307000000
Breath-imbued Stuffed Rock Elephant Head,277000000
Breezy White Coral,1910000
Breezy White Coral Belt,1680000
Brilliant Blue Coral Belt,305000
Brilliant Golden Coral Belt,349000
Brilliant Green Coral Belt,349000
Brilliant Opal,160000
Brilliant Red Coral Belt,349000
Brilliant White Coral Belt,349000
Bronze Dagger,21400
Bronze Ingot,78000
Bronze Jade Pillar,71000
Bumpy Seed,105000
Bunch of Dry Mane Grass,1220
Bunch of Fire Flake Flowers,1280
Bunch of Silk Honey Grass,610
Bunch of Silver Azaleas,700
Butter,8950
Byproduct Fertilizer,5600
Cabbage,3510
Cactus Rind,362
Cactus Sap,10600
Cactus Thorn,4170
Calpheon Chargers' Barding,395000000
Calpheon Fishing Rod,313000000
Calpheon Traditional Alchemy Tool,4020000
Caphras Essence,935000
Caphras Stone,2320000
Caphras Tree Plank,23300
Caphras Tree Plywood,94000
Caphras Tree Sap,15400
Caphras Tree Timber,5600
Capturing Rope,1350
Carrot Seed,1450
Carta Craftsman's Clothes,8200000
Carta Gatherer's Clothes,8200000
Cedar Plank,14100
Cedar Plywood,55000
Cedar Sap,46600
Cedar Timber,2440
Centaurus Belt,84000000
Chanterelle,3770
Chanterelle Hypha,20100
Cheese,13500
Cheetah Dragon Blood,24700
Cheetah Dragon Hide,1830
Cheetah Dragon Meat,19700
Cherry,775
Chicken Feed,126000
Chicken Meat,8800
Cinnamon,3360
Citron,3170
Citron Seed,3500
Citron Vinegar,950
Clear Liquid Reagent,14000
Cloud Mushroom,765
Cloud Mushroom Hypha,3240
Clown's Blood,30200
Coal,1990
Cobra Blood,22900
Coconut,2860
Concentrated Magical Black Gem,18500000
Concentrated Magical Black Stone,6700000
Contorted Seed,73500
Cooking Honey,1080
Copper Ingot,70500
Copper Ore,2030
Coral Belt,20100
Coral Crystal,8400000
Coral Piece,44700
Corn,1100
Corn Dough,4190
Corn Flour,4190
Corn Seed,456
Corrupt Oil of Immortality,37300000
Corrupt Ruby Earrings,505000
Corrupt Ruby Necklace,1790000
Corrupt Ruby Ring,915000
Corrupted Breath,270000
Cotton Fabric,99000
Cotton Wool,2770
Cotton Yarn,8450
Cracked Terrashard,2800000
Cream,11200
Crimson Glaives of the Sage,10400000
Crimson Primordial Luster - Sovereign,108000000
Crimson Thorn Sting,71000
Crio Fisher's Clothes,7900000
Crocodile Meat,23800
Crow Noble Sword,29000
Crystallized Despair,54500000
Crystallized Energy of Endtimes,17800000
Cup of Arid Moonlight,308000000
Cup of Burgeoning Dusk,8200000000
Cup of Callous Sun,8150000000
Cup of Destined Dawn,2020000000
Cup of Dwindling Starlight,4660000000
Cup of Earth's Sorrows,4660000000
Cup of Lone Tide,4660000000
Cup of Reticent Moonbeams,8400000000
Cup of Tragic Nightfall,4660000000
Cup of a Lonely Cloud,4660000000
Dahn's Gloves,23100000000
Dalvenia Alrea,498
Dalvenia Alrea Seed,24300
Dandelion Aad Sphera,158000000
Dandelion Celestial Bo Staff,158000000
Dandelion Cestus,158000000
Dandelion Crescent Blade,158000000
Dandelion Crimson Glaives,158000000
Dandelion Dual Glaives,158000000
Dandelion Enlightened Blade,158000000
Dandelion Foxtail Fans,158000000
Dandelion Gardbrace,158000000
Dandelion Godr Sphera,158000000
Dandelion Greatbow,158000000
Dandelion Greatsword,158000000
Dandelion Iron Buster,158000000
Dandelion Jade Pillar,158000000
Dandelion Jordun,158000000
Dandelion Kamasylven Sword,158000000
Dandelion Kerispear,158000000
Dandelion Kibelius,158000000
Dandelion Lancia,158000000
Dandelion Lil' Devil,158000000
Dandelion Patraca,158000000
Dandelion Sah Chakram,158000000
Dandelion Scythe,158000000
Dandelion Sledgehammer,158000000
Dandelion Soul Tome,158000000
Dandelion Sting,158000000
Dandelion Sura Katana,158000000
Dandelion Trion,158000000
Dandelion Vediant,158000000
Dark Blood Ruby Earrings,175000
Dark Blood Ruby Necklace,1370000
Dark Blood Ruby Ring,285000
Dark Thorn Sting,10400000
Date Palm,1540
Dawn Earring,319000000
Dawn Fallen Silk,5450000
Daybreak Blue Coral,1350000
Daybreak Blue Coral Belt,740000
Dead Tree Essence,302000
Deboreka Belt,450000000
Deboreka Earring,510000000
Deboreka Necklace,296000000
Deboreka Ring,455000000
Deer Blood,20100
Deer Hide,1180
Deer Meat,29800
Dehkia's Fragment,93500000
Delotia,3790
Delotia Essence,280000
Delotia Powder,32700
Delotia Seed,1900
Desert Herb,1520
Diamond,16200
Diamond Necklace,32000
Diamond Necklace of Fortitude,4950000
Dictyophora,3770
Dictyophora Hypha,20100
Dim Heartvein Shard,2800000
Dim Tree Spirit's Armor,304000000
Distilled Water,5300
Distorted Crystal of Origin,5400000000
Distorted Fragment of Origin,108000000
Dobart Armor,41100
Dobart Gloves,23500
Dobart Helmet,32600
Dobart Shoes,23400
Dohr Mareca,29000
Dragon Scale Fossil,373000
Dragon Slayer Aad Sphera,89000000
Dragon Slayer Celestial Bo Staff,89000000
Dragon Slayer Cestus,89000000
Dragon Slayer Crescent Blade,89000000
Dragon Slayer Crimson Glaives,89000000
Dragon Slayer Dual Glaives,89000000
Dragon Slayer Enlightened Blade,89000000
Dragon Slayer Foxtail Fans,89000000
Dragon Slayer Gardbrace,89000000
Dragon Slayer Godr Sphera,89000000
Dragon Slayer Greatbow,89000000
Dragon Slayer Greatsword,89000000
Dragon Slayer Iron Buster,89000000
Dragon Slayer Jade Pillar,89000000
Dragon Slayer Jordun,89000000
Dragon Slayer Kamasylven Sword,89000000
Dragon Slayer Kerispear,89000000
Dragon Slayer Kibelius,89000000
Dragon Slayer Lancia,89000000
Dragon Slayer Lil' Devil,89000000
Dragon Slayer Patraca,89000000
Dragon Slayer Sah Chakram,89000000
Dragon Slayer Scythe,89000000
Dragon Slayer Sledgehammer,89000000
Dragon Slayer Soul Tome,89000000
Dragon Slayer Sting,89000000
Dragon Slayer Sura Katana,89000000
Dragon Slayer Trion,89000000
Dragon Slayer Vediant,89000000
Dressing,2450
Dried Amberjack,5500
Dried Amur Goby,12500
Dried Amur Ide,10300
Dried Amur Minnow,22900
Dried Angler,20500
Dried Arowana,19100
Dried Atka Mackerel,9750
Dried Barbel Steed,5250
Dried Basking Shark,88000
Dried Bass,5850
Dried Beltfish,7750
Dried Bigeye,12000
Dried Bitterling,3260
Dried Black Shiner,25700
Dried Blackfin Sweeper,3330
Dried Blacktip Chromis,24300
Dried Bleeker,2520
Dried Blue Tang,8950
Dried Bluefish,10300
Dried Bluegill,3100
Dried Bowfin,48900
Dried Boxfish,4840
Dried Brassy Chub,2690
Dried Bubble Eye,2650
Dried Burbot,22900
Dried Butterflyfish,3480
Dried Carp,18900
Dried Catfish,6400
Dried Cero,21600
Dried Chameleon Goby,9950
Dried Charr,22100
Dried Checkerboard Wrasse,23300
Dried Cherry Icefish,10700
Dried Cherry Salmon,16200
Dried Clownfish,8700
Dried Common Bleak,16400
Dried Common Minnow,6100
Dried Common Pleco,2550
Dried Crab,2250
Dried Crawfish,5600
Dried Croaker,7200
Dried Crucian Carp,4770
Dried Cuttlefish,5800
Dried Cuvier,34700
Dried Dace,2650
Dried Dark Chub,16800
Dried Dark Sleeper,15200
Dried Dark-banded Rockfish,755
Dried Devil Stinger,6650
Dried Diamond Minnow,21400
Dried Dollarfish,5550
Dried Dolphinfish,6000
Dried Dusky Flathead,2640
Dried Dwarf Gudgeon,16800
Dried Filefish,6200
Dried Flatfish,5300
Dried Flounder,6250
Dried Flower Icefish,36100
Dried Flying Fish,10700
Dried Fourfinger Threadfin,2150
Dried Freshwater Eel,14800
Dried Giant Talking Catfish,125000
Dried Goby Minnow,2830
Dried Golden-thread,24200
Dried Goldenstriped Soapfish,235000
Dried Goliath Tigerfish,124000
Dried Grass Carp,11700
Dried Grayling,6250
Dried Green Sturgeon,23600
Dried Greenling,3750
Dried Grouper,18200
Dried Grunt,72000
Dried Gunnel,5900
Dried Gurnard,3510
Dried Hatchetfish,2510
Dried Herring,19300
Dried Horn Fish,4800
Dried Jellyfish,3080
Dried John Dory,25000
Dried King Spine Loach,18400
Dried Kuhlia Marginata,5200
Dried Lamprey,34600
Dried Large-headed Goby,16700
Dried Lavascale Stargazer,6950
Dried Leaffish,2510
Dried Leather Carp,35200
Dried Lenok,16500
Dried Lionfish,4840
Dried Lobster,117000
Dried Longnose Gar,14400
Dried Longsnout Catfish,29000
Dried Lungfish,108000
Dried Mackerel,6450
Dried Mackerel Pike,2390
Dried Mandarin Fish,70500
Dried Maomao,19200
Dried Miho Spine Loach,25400
Dried Minnow,6900
Dried Mitre Squid,840
Dried Moray,23100
Dried Mori,24300
Dried Morning Loach,6900
Dried Morning River Goby,3690
Dried Mudfish,2980
Dried Mudskipper,9850
Dried Mullet,8250
Dried Neon Damselfish,30800
Dried Nibbler,79500
Dried Notch Jaw,2490
Dried Obtuse Barracuda,13700
Dried Octopus,18400
Dried Oily Shiner,6400
Dried Opah,122000
Dried Pacu,23600
Dried Pearl Oyster Flesh,60500
Dried Perch,3720
Dried Pike,10700
Dried Pike Characin,13000
Dried Pintado,9050
Dried Piranha,30200
Dried Pollack,1030
Dried Pomfret,10400
Dried Porcupine Fish,18000
Dried Porgy,75500
Dried Ransonnet's Surfperch,29200
Dried Rapid Goby,23100
Dried Ray,8750
Dried Red Seabream,25700
Dried Red Snow Crab,37200
Dried Redbreasted Wrasse,57500
Dried Redfin Anthias,117000
Dried Ribbon Eel,32500
Dried Rock Hind,2960
Dried Rockfish,7400
Dried Rosefish,2440
Dried Rosy Bitterling,3540
Dried Round Herring,3820
Dried Roundtail Paradisefish,3540
Dried Salmon,5150
Dried Sandeel,3360
Dried Sandfish,3410
Dried Sardine,7100
Dried Saurel,7100
Dried Scorpion Fish,8100
Dried Sea Bass,50000
Dried Sea Eel,18500
Dried Seahorse,3540
Dried Sharpbelly,12600
Dried Shellfish,3200
Dried Short Barbel Gudgeon,19500
Dried Short Ninespine Stickleback,895
Dried Shuttles Hoppfish,7550
Dried Siganid,18800
Dried Silver Carp,15600
Dried Silver Prochilodus,2460
Dried Silver Stripe Round Herring,3030
Dried Skipjack,9300
Dried Smelt,5200
Dried Smokey Chromis,34600
Dried Snakehead,39900
Dried Soho Bitterling,2050
Dried South Torrent Catfish,3000
Dried Spined Bittering,13700
Dried Spined Loach,9700
Dried Spotted Barbel,23800
Dried Squid,5400
Dried Starfish,2360
Dried Stickleback,12100
Dried Stippled Gunnel,16600
Dried Stone Moroko,15100
Dried Striped Catfish,9950
Dried Striped Shiner,15800
Dried Stumpy Bullhead,7050
Dried Sturgeon,60000
Dried Sunfish,46100
Dried Surfperch,5850
Dried Swamp Eel,12100
Dried Sweetfish,6850
Dried Swellfish,21200
Dried Swiri,92000
Dried Swordfish,23000
Dried Tapertail Anchovy,20700
Dried Terrapin,6700
Dried Thresher Shark,36600
Dried Tiger Shark,49100
Dried Tilefish,39700
Dried Tongue Sole,3450
Dried Trout,6800
Dried Tuna,79500
Dried Ussurian Bullhead,12600
Dried Whiting,4160
Dried Wrought Iron Butterflyfish,86000
Dried Yalu Grayling,17800
Dried Yellow-head Catfish,19000
Dried Yellowfin Sculpin,9650
Dried Yellowfin Sole,16300
Dried-Up Seed,26900
Dry Mane Grass,214
Dry Mane Grass Seed,2040
Dusk Laden Cotton Fabric,6050000
Dwarf Mushroom,735
Dwarf Mushroom Hypha,21300
Egg,7700
Elder Tree Plank,1870
Elder Tree Plywood,20200
Elder Tree Sap,25700
Elder Tree Timber,2650
Elephant Hide,8050
Elisha Belt,96500
Elisha Earring,52000
Elisha Necklace,224000
Elisha Ring,55000
Elixir of Persistence,212000
Elsh Amulet,72000
Elsh Axe,72000
Elsh Battle Axe,72000
Elsh Blade,72000
Elsh Crescent Pendulum,72000
Elsh Crossbow,72000
Elsh Florang,72000
Elsh Foxspirit Charm,72000
Elsh Gauntlet,72000
Elsh Hammers,72000
Elsh Hwando,72000
Elsh Kriegsmesser,72000
Elsh Kyve,72000
Elsh Longbow,72000
Elsh Longsword,72000
Elsh Morning Star,72000
Elsh Power Pole,72000
Elsh Revolvers,72000
Elsh Sacramentum,62500
Elsh Serenaca,72000
Elsh Shamshir,72000
Elsh Shortsword,72000
Elsh Slayer,72000
Elsh Staff,72000
Elsh Swallowtail Fan,72000
Embers of Despair,18700000
Embers of Frost,18700000
Embers of Resonance,43200000
Emerald,25800
Emerald Necklace,33900
Emerald Necklace of Tranquility,2930000
Emergency Ship Repair Kit,645000
Emperor Mushroom,700
Emperor Mushroom Hypha,20100
Empty Crystal,645
Energy Potion (Extra Large),12100000
Energy Potion (Medium),4760000
Enhanced Flax Fabric,70000
Enlightened Blade of Balance,10400000
Enlightened Blade of Harmony,71000
Enlightened One's Cotton Fabric,7000000
Enneadread Crimson Glaives,71000
Epheria Carrack: Advance (Chiro's Black Plating),26600000000
Epheria Carrack: Advance (Chiro's Cannon),23900000000
Epheria Carrack: Balance (Chiro's Black Plating),8900000000
Epheria Carrack: Valor (Chiro's Sail),28800000000
Epheria Carrack: Volante (Chiro's Cannon),15600000000
Epheria Sailboat: Sea Dragon Figurehead,279000000
Essence of Dawn,69500000
Essence of Dawn - Accuracy,93500000
Essence of Dawn - Black Spirit's Rage,93500000
Essence of Dawn - Damage Reduction,93500000
Essence of Dawn - Evasion,93500000
Essence of Devouring,270000000
Essence of Insight,4290000
Essence of Liquor,2890
Essence of Nature,419000
Estique Kunai,29000
Estique Shuriken,29000
Ethereal Earring,183000000
Everlasting Herb,144000
Exalted Soul Fragment,5600000000
Eye of the Ruins Ring,24700000
Eyelash Cup,1290
Faded Naturewoven Hide,2800000
Faint Origin of Dark Hunger,540000000
Faint Wildsoul,2800000
Fallen God's Armor,24300000000
Fancy Feather,16300
Fancy Reptile Skin,2880
Farm Wagon Badge,22200000
Feather Wolf Hide,710
Ferocious Leather,479000
Fidei Clavis,24200
Fig,1520
Fine Fancy Feather,95000
Fine Fancy Reptile Skin,11400
Fine Hard Hide,201000
Fine Lightweight Plume,78500
Fine Soft Hide,62000
Fine Thick Fur,68500
Fine Thin Hide,89000
Fine Tough Hide,85500
Fir Plank,15900
Fir Plywood,61000
Fir Sap,6000
Fir Timber,3400
Fire Flake Flower,401
Fire Flake Flower Seed,2140
Fire Horn,58000
Flame of Despair,1870000000
Flame of Frost,1870000000
Flame of Hongik,339000000
Flame of Resonance,4320000000
Flamingo Blood,22900
Flamingo Meat,7150
Flamingo Plume,3530
Flawless Herald's Crystal,2730000000
Flax,1510
Flax Fabric,11000
Flax Seed,12600
Flax Thread,4490
Fleece,4360
Foederis Clavis,18000
Fog Mushroom,3350
Fog Mushroom Hypha,20900
Forest Emerald,2190000
Forest Emerald Necklace,173000
Forest Fury,20400000
Forest Path Wagon Badge,3560000000
Forest Path Wagon Cover,3560000000
Forest Path Wagon Flag,3560000000
Forest Ronaros Ring,21400000
Fortuna's Luck Armor,60000
Fortuna's Luck Shoes,40700
Fortune Teller Mushroom,700
Fortune Teller Mushroom Hypha,20100
Fox Blood,28000
Fox Hide,1800
Fox Meat,31400
Freekeh,1720
Freekeh Flour,595
Freekeh Flour Dough,915
Friha Shotgun,21400
Frost Iron Jordun,10400000
Frost Jordun,71000
Frosty Cloud Kerispear,10400000
Fruit of Nature,228000
Fugitive Khalk's Earring,95000000
Fugitive Khalk's Horn,540000
Fugitive Khalk's Shiny Claw,41900000
Fugitive Khalk's Skin,7800000
Ganatte Ra'ghon,29000
Garlic,4190
Garlic Seed,2090
Garmoth's Heart,18700000000
Garmoth's Scale,915000
Gartner Belt,1900000
Gauche Rawr-Rawr's Heart,4250000000
Gazelle Hide,2520
Gazelle Meat,34700
Gem Polisher,419000
Gem of Void,46600000
Geranoa Belt,4870000
Geranoa Earring,5350000
Geranoa Necklace,4410000
Geranoa Ring,5250000
Geumgang Binyeo Knife,28600
Geumgang Do Stave,28600
Geumgang Gombangdae,21400
Ghost Mushroom,775
Ghost Mushroom Hypha,22400
Giath's Helmet,304000000
Gigantic Seed,134000
Gilded Leaf,3730000
Glossy Bone Piece,8250
Glossy Seed,62000
Gloves of Fortuna's Luck,34100
Glue,196000
Gluttony Crystal,46600000
Goat Blood,17600
Goat Hide,2140
Goat Meat,22100
Gold Ingot,237000
Gold Ore,8700
Gold Topaz,1710000
Gold Topaz Earrings,107000
Gold Topaz Necklace,187000
Gold Topaz Ring,88500
Golden Coral,585000
Golden Coral Belt,107000
Golden Pearl,3730000
Golden Sun Coral,2240000
Golden Sun Coral Belt,2630000
Good Chicken Feed,535000
Goosefoot Leaf,6550
Gorgath Alchemist's Clothes,7200000
Grain Soup,585
Grape,580
Grape Seed,1750
Gravity Cores of Acceleration,21400
Gravity Cores of Augmentation,29000
Gravity Cores of Mass,28600
Greatbow of Fate,71000
Green Coral,396000
Green Coral Belt,107000
Green Crystal,36100
Green Pendulous Mushroom,489
Griffon Claw,960000
Griffon Feather,7200
Griffon Leather,1470000
Griffon's Helmet,344000000
Ground Bird Meat,9650
Grunil Armor,148000
Grunil Gloves,59500
Grunil Helmet,540000
Grunil Shoes,52000
Gyomok Gombangdae,29000
Half-Moon Seed,57500
Hard Hide,35000
Hard Pillar,5450000
Haystack,20600
Hazel Tree Fruit,4750
Heart of Karanda,133000000
Heart of Kutum,208000000
Heart of the Arid Forest,2700000
Heiress's Kamasylven Sword,10400000
Helmet of Fortuna's Luck,34400
Helrick Talisman,21400
Herald's Crystal,13500000
Herbal Gunpowder,76000
Herbal Poison,70000
Hercules' Might Armor,79000
Hercules' Might Gloves,56000
Hercules' Might Helmet,78500
Hercules' Might Shoes,59000
Hesed's Crystal,9350000
Hesus Belt,117000
Hesus Earring,95500
Hesus Necklace,92000
Hesus Ring,36300
Heukchil Binyeo Knife,29000
Heve's Strength Armor,84500
Heve's Strength Gloves,57500
Heve's Strength Helmet,78000
Heve's Strength Shoes,70500
High-quality Acacia Seed,22200
High-quality Amanita Mushroom,13200
High-quality Amanita Mushroom Hypha,101000
High-quality Ancient Mushroom,17600
High-quality Ancient Mushroom Hypha,112000
High-quality Arrow Mushroom,3870
High-quality Arrow Mushroom Hypha,112000
High-quality Barley,11700
High-quality Barley Seed,4290
High-quality Bluffer Mushroom,16300
High-quality Bluffer Mushroom Hypha,104000
High-quality Bouquet Mushroom,9700
High-quality Bouquet Mushroom Hypha,30300
High-quality Carrot Seed,12100
High-quality Chanterelle,18900
High-quality Chanterelle Hypha,101000
High-quality Citron,13800
High-quality Citron Seed,99000
High-quality Cloud Mushroom,3870
High-quality Cloud Mushroom Hypha,97000
High-quality Cooking Honey,12300
High-quality Corn,10900
High-quality Corn Seed,14400
High-quality Dalvenia Alrea,5100
High-quality Dalvenia Alrea Seed,23900
High-quality Delotia,15500
High-quality Delotia Seed,55500
High-quality Dictyophora,18900
High-quality Dictyophora Hypha,101000
High-quality Dry Mane Grass,2030
High-quality Dry Mane Grass Seed,10200
High-quality Dwarf Mushroom,3680
High-quality Dwarf Mushroom Hypha,107000
High-quality Emperor Mushroom,3480
High-quality Emperor Mushroom Hypha,101000
High-quality Fire Flake Flower,2140
High-quality Fire Flake Flower Seed,11200
High-quality Fog Mushroom,16700
High-quality Fog Mushroom Hypha,97000
High-quality Fortune Teller Mushroom,3480
High-quality Fortune Teller Mushroom Hypha,101000
High-quality Garlic,13400
High-quality Garlic Seed,13000
High-quality Ghost Mushroom,7400
High-quality Ghost Mushroom Hypha,112000
High-quality Grape,13800
High-quality Grape Seed,14800
High-quality Haystack,73500
High-quality Hot Pepper,12100
High-quality Hot Pepper Seed,82000
High-quality Hump Mushroom,17600
High-quality Hump Mushroom Hypha,67500
High-quality Leccinum,6300
High-quality Leccinum Mushroom Hypha,73000
High-quality Mesima,18900
High-quality Mesima Hypha,101000
High-quality Napa Cabbage,14100
High-quality Napa Cabbage Seed,72500
